Symbol,Company,Industry
AFL,AFLAC Incorporated Common Stock,Accident & Health Insurance
AIZ,"Assurant, Inc. Common Stock",Accident & Health Insurance
AMIC,American Independence Corp.,Accident & Health Insurance
CMAB.DE,MAPFRE,Accident & Health Insurance
CNO,"CNO Financial Group, Inc. Commo",Accident & Health Insurance
EIG,Employers Holdings Inc Common S,Accident & Health Insurance
FAC,First Acceptance Corporation,Accident & Health Insurance
GLRE,"Greenlight Reinsurance, Ltd.",Accident & Health Insurance
GTS,Triple-S Management Corporation,Accident & Health Insurance
LRE.L,LANCASHIRE HOLDINGS LIMITED COM,Accident & Health Insurance
MIC.TO,GENWORTH MI CANADA INC.,Accident & Health Insurance
NBG6.DE,NUERNB BETLG -B-,Accident & Health Insurance
NHF.AX,NIBHOLDING FPO,Accident & Health Insurance
PRA,ProAssurance Corporation Common,Accident & Health Insurance
PROTCT.OL,PROTECTOR FORSIKRIN,Accident & Health Insurance
RQIH.L,RANDALL & QUILTER INVESTMENT HO,Accident & Health Insurance
TRUP,"Trupanion, Inc.",Accident & Health Insurance
UNM,Unum Group Common Stock,Accident & Health Insurance
