Symbol,Company,Industry
5HH.SI,$ Sinjia Land,Chemicals - Major Diversified
87FZ.L,AECI LD 5 1/2% CUM PRF R2,Chemicals - Major Diversified
ABCIL.NS,ADITYA BIRLA CHEMICALS (INDIA),Chemicals - Major Diversified
ADVPETR-B.BO,ADVANCE PETROCHEMICALS LTD.,Chemicals - Major Diversified
AFPW,ALUMIFUEL PWR CORP.,Chemicals - Major Diversified
AI.PA,AIR LIQUIDE,Chemicals - Major Diversified
AKE.PA,ARKEMA,Chemicals - Major Diversified
AKENV.PA,ARKEMA I16,Chemicals - Major Diversified
AKSCHEM.BO,AKSHARCHEM (INDIA) LTD.,Chemicals - Major Diversified
ALUFLUOR.BO,ALUFLUORIDE LTD.,Chemicals - Major Diversified
AMNPLST.BO,AMINES & PLASTICIZERS LTD.,Chemicals - Major Diversified
ANO.AX,ANTARIA FPO,Chemicals - Major Diversified
ASAHISONG.NS,ASAHI SONGWON COLO INR10,Chemicals - Major Diversified
ASHOKALC.BO,ASHOK ALCO-CHEM LTD.,Chemicals - Major Diversified
ASINPET.BO,ASIAN PETROPRODUCTS & EXPORTS,Chemicals - Major Diversified
ASSAMCO.BO,ASSAM COMPANY (INDIA) LIMITED,Chemicals - Major Diversified
ASTEC.BO,ASTEC LIFESCIENCES LIMITED,Chemicals - Major Diversified
ASTEC.NS,ASTEC LIFESCIENCES INR10(DEMAT),Chemicals - Major Diversified
ATUL.NS,ATUL LIMITED,Chemicals - Major Diversified
SHLM,"A. Schulman, Inc.",Chemicals - Major Diversified
