Symbol,Company,Industry
1110.HK,KINGWORLD,Drug Delivery
ACUR,"Acura Pharmaceuticals, Inc.",Drug Delivery
ADMP,Adamis Pharmaceuticals Corporat,Drug Delivery
ALKS,Alkermes plc,Drug Delivery
ARDM,Aradigm Corporation,Drug Delivery
BEVIDESA.MX,FARMACIAS BENAVID-A,Drug Delivery
BEVIDESB.MX,FARMACIAS BENAVID-B,Drug Delivery
BPHA3.SA,BR PHARMA ON NM,Drug Delivery
BPTH,"Bio-Path Holdings, Inc.",Drug Delivery
CLIN.L,CLINIGEN GROUP PLC ORD 0.1P,Drug Delivery
DCTH,"Delcath Systems, Inc.",Drug Delivery
ELN.V,EL NINO VENTURES INC,Drug Delivery
FLML,Flamel Technologies S.A.,Drug Delivery
FRAGUAB.MX,FRAGUA-B,Drug Delivery
GNBT,GENEREX BIOTECH CORP,Drug Delivery
INSV,INSITE VISION INC,Drug Delivery
IPCI,Intellipharmaceutics Internatio,Drug Delivery
MLEBX.PA,ESSERE BENESSERE,Drug Delivery
MULLER.BO,MULLER & PHIPPS (INDIA) LTD.,Drug Delivery
PJC-A.TO,"JEAN COUTU GROUP (PJC) INC., CL",Drug Delivery
