Symbol,Company,Industry
AB.PA,AB SCIENCE,Drug Manufacturers - Major
ABBV.PA,ABBVIE,Drug Manufacturers - Major
AGY.L,ALLERGY THERAPEUTICS PLC ORD 0.,Drug Manufacturers - Major
AHS.V,ALTA NATURAL HERBS AND SUPPLEME,Drug Manufacturers - Major
ALBERTDA.BO,ALBERT DAVID LTD.,Drug Manufacturers - Major
AMBALALSA.BO,AMBALAL SARABHAI ENTERPRISES L,Drug Manufacturers - Major
ANP.AX,ANTISENSE FPO,Drug Manufacturers - Major
ANUHPHR.BO,ANUH PHARMA LTD.,Drug Manufacturers - Major
ANULABS.BO,ANUS LABORATORIES LTD.,Drug Manufacturers - Major
ARVINDREM.BO,ARVIND REMEDIES LTD.,Drug Manufacturers - Major
ARVINDREM.NS,ARVIND REMEDIES INR10,Drug Manufacturers - Major
ASTRAZEN.BO,ASTRAZENECA PHARMA INDIA LTD.,Drug Manufacturers - Major
ASTRAZEN.NS,ASTREZENECA PHARMA INR2,Drug Manufacturers - Major
AZN.BA,ASTRAZENECA CEDEAR EACH REP 0.5,Drug Manufacturers - Major
AZN.L,ASTRAZENECA PLC ORD SHS $0.25,Drug Manufacturers - Major
AZN.ST,ASTRAZENECA,Drug Manufacturers - Major
AZN.V,ARCTURUS VENTURES INC,Drug Manufacturers - Major
AZNN.MX,ASTRAZENECA SP ADS,Drug Manufacturers - Major
TRL.TO,ACERUS PHARMACEUTICALS CORPORAT,Drug Manufacturers - Major
ZEG.DE,ASTRAZENECA,Drug Manufacturers - Major
