Symbol,Company,Industry
ACUS,ACUSPHERE INC,Drug Manufacturers - Other
AGN,Allergan plc Ordinary Shares,Drug Manufacturers - Other
AHRO,ATHERONOVA INC,Drug Manufacturers - Other
ALXA,ALEXZA PHARMACEUTI COM USD0.000,Drug Manufacturers - Other
AMPH,"Amphastar Pharmaceuticals, Inc.",Drug Manufacturers - Other
AMRN,Amarin Corporation plc,Drug Manufacturers - Other
AOLS,AEOLUS PHARMACEUTICL,Drug Manufacturers - Other
APRI,"Apricus Biosciences, Inc",Drug Manufacturers - Other
ARYX,"ARYX THERAPEUTICS, I",Drug Manufacturers - Other
BIOD,Biodel Inc.,Drug Manufacturers - Other
CPIX,Cumberland Pharmaceuticals Inc.,Drug Manufacturers - Other
CRME,Cardiome Pharma Corporation,Drug Manufacturers - Other
DEPO,"Depomed, Inc.",Drug Manufacturers - Other
DRRX,DURECT Corporation,Drug Manufacturers - Other
ELTP,ELITE PHARMA INC,Drug Manufacturers - Other
ENDP,Endo International plc,Drug Manufacturers - Other
HRBR,HARBOR DIVERSIFIED,Drug Manufacturers - Other
ISIS,"Ionis Pharmaceuticals, Inc",Drug Manufacturers - Other
LCAR,LESCARDEN INC,Drug Manufacturers - Other
RDY,Dr. Reddy's Laboratories Ltd Co,Drug Manufacturers - Other
